name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2022-01-01,28,15,22.2,28.7,15,22.3,16.4,72.1,4.8,100,54.17,rain,0,0,30.2,22.3,257,1017.2,78.7,13.1,252.1,21.7,8,,2022-01-01T06:38:09,2022-01-01T18:46:39,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-02,29,13.8,22.3,29.9,13.8,22.5,15.5,67.5,0.1,100,4.17,rain,0,0,30.6,25.9,258.5,1013.9,33.9,16.4,281.8,24.3,10,,2022-01-02T06:38:37,2022-01-02T18:47:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-03,29,15.3,23.1,29.5,15.3,23.2,16.6,69.3,0.1,100,4.17,rain,0,0,27,31.7,228.6,1013.7,33.2,15.2,278,23.9,10,,2022-01-03T06:39:05,2022-01-03T18:47:34,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-04,34,18,23.8,34,18,24,17.4,69.3,1.2,100,12.5,rain,0,0,25.9,29.5,232.2,1015.8,33.7,11.9,308.1,26.7,10,,2022-01-04T06:39:33,2022-01-04T18:48:01,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2022-01-05,29,17.8,23.2,28.6,17.8,23.2,15.4,64.1,0.1,100,4.17,rain,0,0,31.3,24.1,225.4,1016.3,57.7,13,275.2,23.7,10,,2022-01-05T06:40:00,2022-01-05T18:48:27,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-06,31,14.6,24.1,30.3,14.6,24,15.1,60,0,0,0,,0,0,30.2,18.4,210.5,1015.5,59.5,12.5,272.5,23.4,10,,2022-01-06T06:40:27,2022-01-06T18:48:53,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-07,32,16.3,24.8,32,16.3,24.9,15,56.5,0,0,0,,0,0,23,14.8,181.2,1014,52.3,14.6,249.2,21.5,9,,2022-01-07T06:40:54,2022-01-07T18:49:19,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-08,33,17,25.5,31.7,17,25.4,14.6,53.3,0,0,0,,0,0,21.2,16.6,179.5,1014.5,58.9,14.7,262.8,22.7,9,,2022-01-08T06:41:20,2022-01-08T18:49:44,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-09,34,16.8,25.7,32.1,16.8,25.1,12,46.8,0,0,0,,0,0,22.7,18.4,219.8,1014.1,33.4,12.9,291.4,25.2,10,,2022-01-09T06:41:45,2022-01-09T18:50:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-10,33,17.3,24.8,31.2,17.3,24.4,10.6,43.4,0,0,0,,0,0,25.9,20.5,173.6,1012.6,48,15,316.8,27.3,10,10,2022-01-10T06:42:10,2022-01-10T18:50:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
