name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nakuru, Kenya",2020-01-01,25.1,12.3,18.3,25.1,12.3,18.3,11.3,67.7,0,0,0,,0,0,28.4,22.3,343,1016,57.8,30,272.2,23.6,10,,2020-01-01T06:34:53,2020-01-01T18:43:07,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-02,24.2,11,17.5,24.2,11,17.5,12.2,72.8,0.7,100,16.67,rain,0,0,32.4,27.7,339.7,1016.6,40.4,30,233.8,20.1,8,,2020-01-02T06:35:22,2020-01-02T18:43:35,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-03,24.7,11.2,17,24.7,11.2,17,12.4,76.2,0.9,100,20.83,rain,0,0,35.6,20.5,350.2,1018,73.1,30,247,21.2,8,,2020-01-03T06:35:50,2020-01-03T18:44:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-04,27.1,12,18.7,26.5,12,18.7,10.8,64.6,0,0,0,,0,0,31.7,18.4,345.4,1016.2,72,30,269.7,23.4,9,,2020-01-04T06:36:18,2020-01-04T18:44:30,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-05,24.2,14.1,19.2,24.2,14.1,19.2,10.6,59.6,0,0,0,,0,0,32,27.7,345.8,1015,74.8,30,261.4,22.6,10,,2020-01-05T06:36:45,2020-01-05T18:44:57,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-06,24.6,14,19,24.6,14,19,12.1,66.1,0.2,100,8.33,rain,0,0,30.6,18.4,350,1015,80.8,30,253.5,22,9,,2020-01-06T06:37:12,2020-01-06T18:45:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-07,25.6,12.4,18.4,25.6,12.4,18.4,12.9,72.4,0.1,100,4.17,rain,0,0,34.9,22.3,352.6,1015.5,74.8,30,245.2,21.1,9,,2020-01-07T06:37:39,2020-01-07T18:45:49,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-08,25.7,13.1,18.6,25.7,13.1,18.6,12.6,70.5,0.9,100,25,rain,0,0,28.8,27.7,352.7,1015.8,78.1,30,202.7,17.6,7,,2020-01-08T06:38:05,2020-01-08T18:46:15,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-09,25.1,12.3,17.5,25.1,12.3,17.5,13.1,77,1,100,4.17,rain,0,0,32.8,14.8,311.2,1015.8,50.4,30,264.2,22.7,10,,2020-01-09T06:38:31,2020-01-09T18:46:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-10,26.2,11.2,18.7,26.2,11.2,18.7,11.4,66.4,0.3,100,8.33,rain,0,0,33.1,13.7,340.3,1014.9,32.8,30,299.6,25.8,10,,2020-01-10T06:38:56,2020-01-10T18:47:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63714099999,remote"
